Code,Exchange,Name,Sector,Industry
LVS,US,Las Vegas Sands Corp,Consumer Cyclical,Resorts & Casinos
EPAM,US,EPAM Systems Inc,Technology,Information Technology Services
BAC,US,Bank of America Corp,Financial Services,Banks - Diversified
MO,US,Altria Group,Consumer Defensive,Tobacco
KMI,US,Kinder Morgan Inc,Energy,Oil & Gas Midstream
FE,US,FirstEnergy Corporation,Utilities,Utilities - Regulated Electric
HII,US,Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense
NSC,US,Norfolk Southern Corporation,Industrials,Railroads
LEN,US,Lennar Corporation,Consumer Cyclical,Residential Construction
MOH,US,Molina Healthcare Inc,Healthcare,Healthcare Plans
ENPH,US,Enphase Energy Inc,Technology,Solar
ABT,US,Abbott Laboratories,Healthcare,Medical Devices
WMB,US,Williams Companies Inc,Energy,Oil & Gas Midstream
TRV,US,The Travelers Companies Inc,Financial Services,Insurance - Property & Casualty
VLO,US,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing
CRM,US,Salesforce.com Inc,Technology,Software - Application
SHW,US,Sherwin-Williams Co,Basic Materials,Specialty Chemicals
WMT,US,Walmart Inc,Consumer Defensive,Discount Stores
MMM,US,3M Company,Industrials,Conglomerates
NWS,US,News Corp B,Communication Services,Entertainment
KMX,US,CarMax Inc,Consumer Cyclical,Auto & Truck Dealerships
AWK,US,American Water Works,Utilities,Utilities - Regulated Water
DFS,US,Discover Financial Services,Financial Services,Credit Services
ALGN,US,Align Technology Inc,Healthcare,Medical Devices
NVDA,US,NVIDIA Corporation,Technology,Semiconductors
LYB,US,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals
EBAY,US,eBay Inc,Consumer Cyclical,Internet Retail
COO,US,The Cooper Companies Inc.,Healthcare,Medical Instruments & Supplies
XOM,US,Exxon Mobil Corp,Energy,Oil & Gas Integrated
FOX,US,Fox Corp Class B,Communication Services,Entertainment
UAL,US,United Airlines Holdings Inc,Industrials,Airlines
DG,US,Dollar General Corporation,Consumer Defensive,Discount Stores
ETN,US,Eaton Corporation PLC,Industrials,Specialty Industrial Machinery
ULTA,US,Ulta Beauty Inc,Consumer Cyclical,Specialty Retail
MPWR,US,Monolithic Power Systems Inc,Technology,Semiconductors
TSLA,US,Tesla Inc,Consumer Cyclical,Auto Manufacturers
TER,US,Teradyne Inc,Technology,Semiconductor Equipment & Materials
LOW,US,Lowe's Companies Inc,Consumer Cyclical,Home Improvement Retail
PAYC,US,Paycom Soft,Technology,Software - Application
ADM,US,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
NTRS,US,Northern Trust Corporation,Financial Services,Asset Management
EMR,US,Emerson Electric Company,Industrials,Specialty Industrial Machinery
AMZN,US,Amazon.com Inc,Consumer Cyclical,Internet Retail
ADSK,US,Autodesk Inc,Technology,Software - Application
KIM,US,Kimco Realty Corporation,Real Estate,REIT - Retail
CAT,US,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery
PM,US,Philip Morris International Inc,Consumer Defensive,Tobacco
PNC,US,PNC Financial Services Group Inc,Financial Services,Banks - Regional
JNJ,US,Johnson & Johnson,Healthcare,Drug Manufacturers - General
EXPD,US,Expeditors International of Washington Inc,Industrials,Integrated Freight & Logistics
TECH,US,Bio-Techne Corp,Healthcare,Biotechnology
C,US,Citigroup Inc,Financial Services,Banks - Diversified
MDLZ,US,Mondelez International Inc,Consumer Defensive,Confectioners
TAP,US,Molson Coors Brewing Co Class B,Consumer Defensive,Beverages - Brewers
AXP,US,American Express Company,Financial Services,Credit Services
ALB,US,Albemarle Corp,Basic Materials,Specialty Chemicals
AVB,US,AvalonBay Communities Inc,Real Estate,REIT - Residential
MDT,US,Medtronic PLC,Healthcare,Medical Devices
MHK,US,Mohawk Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
EA,US,Electronic Arts Inc,Communication Services,Electronic Gaming & Multimedia
NDSN,US,Nordson Corporation,Industrials,Specialty Industrial Machinery
PTC,US,PTC Inc,Technology,Software - Application
EFX,US,Equifax Inc,Industrials,Consulting Services
ADBE,US,Adobe Systems Incorporated,Technology,Software - Infrastructure
SCHW,US,Charles Schwab Corp,Financial Services,Capital Markets
RSG,US,Republic Services Inc,Industrials,Waste Management
PWR,US,Quanta Services Inc,Industrials,Engineering & Construction
MRK,US,Merck & Company Inc,Healthcare,Drug Manufacturers - General
VRSK,US,Verisk Analytics Inc,Industrials,Consulting Services
NWSA,US,News Corp A,Communication Services,Entertainment
MSFT,US,Microsoft Corporation,Technology,Software - Infrastructure
TSN,US,Tyson Foods Inc,Consumer Defensive,Farm Products
